X, Y, l, m, angle
516187.31005864, 7484946.76593407, 0.512386078249301, 0.8587552077375143, 30.822896320534745
516187.31005864, 7485446.76593407, 0.5187714788458988, 0.8549129503850315, 31.249880751271068
516187.31005864, 7485946.76593407, 0.5821248107725966, 0.8130994432927429, 35.60012970049878
516187.31005864, 7486446.76593407, 0.6856033838802844, 0.7279752743135603, 43.28307836416154
516187.31005864, 7486946.76593407, 0.8039793526064349, 0.5946572126717525, 53.51180057501584
516187.31005864, 7487446.76593407, 0.9217532140070755, 0.3877770138463942, 67.18375075582848
516187.31005864, 7487946.76593407, 0.9989539702795985, 0.045727073628506934, 87.37911776762353
516187.31005864, 7488446.76593407, 0.9002030564788945, -0.4354703860264853, 115.81522904647314
516187.31005864, 7488946.76593407, 0.5952564506069489, -0.8035357851463848, 143.46908395952127
516187.31005864, 7489446.76593407, 0.32096969970652367, -0.9470894634987256, 161.27842165476582
516187.31005864, 7489946.76593407, 0.15648673901586038, -0.9876800597927357, 170.99696757508053
516187.31005864, 7490446.76593407, 0.06874712249350622, -0.9976341178753174, 176.05797074465767
516187.31005864, 7490946.76593407, 0.028409900191890564, -0.9995963573218376, 178.3720135751217
516187.31005864, 7491446.76593407, 0.022203979274920033, -0.9997534612615047, 178.7277011404473
516187.31005864, 7491946.76593407, 0.05063656395367702, -0.9987171463387245, 177.09749732816917
516187.31005864, 7492446.76593407, 0.13236069434167552, -0.9912016175296474, 172.39397081103553
516187.31005864, 7492946.76593407, 0.3250314045033151, -0.9457032230497061, 161.03252236856113
516187.31005864, 7493446.76593407, 0.7296407505498805, -0.6838306626183174, 133.143714643189
516187.31005864, 7493946.76593407, 0.9998942474789356, 0.014542828422732686, 89.16672793544691
516187.31005864, 7494446.76593407, 0.8951003908220853, 0.44586465474418363, 63.52132759491237
516187.31005864, 7494946.76593407, 0.8078562595924978, 0.5893795583808611, 53.887007864979466
516187.31005864, 7495446.76593407, 0.7820711765499271, 0.6231891164083443, 51.45060349937414
516187.31005864, 7495946.76593407, 0.7966088567080382, 0.6044951028869565, 52.80748139119622
516187.31005864, 7496446.76593407, 0.8214935232728529, 0.5702178454071346, 55.234581827048764
516187.31005864, 7496946.76593407, 0.8226658254208745, 0.5685252322321246, 55.35255038902961
516187.31005864, 7497446.76593407, 0.7608566295160004, 0.6489200176613076, 49.53977476033686
516187.31005864, 7497946.76593407, 0.5953847504683849, 0.8034407251998736, 36.5400649490153
516187.31005864, 7498446.76593407, 0.4108951395656219, 0.9116826115931728, 24.261078480809392
516187.31005864, 7498946.76593407, 0.3763540070421823, 0.9264759367535096, 22.108023485928403
516187.31005864, 7499446.76593407, 0.4972416482194762, 0.867612092628946, 29.817676091569236
516187.31005864, 7499946.76593407, 0.680883156953167, 0.7323920579699708, 42.91269464839404
516187.31005864, 7500446.76593407, 0.830969571583316, 0.5563178687608735, 56.19846563998815
516187.31005864, 7500946.76593407, 0.9186143689811789, 0.39515521140598747, 66.72434545045469
516187.31005864, 7501446.76593407, 0.9639640870022175, 0.2660324021054224, 74.57169268058117
516187.31005864, 7501946.76593407, 0.9926120951848632, 0.12133106977487793, 83.03107138338328
516187.31005864, 7502446.76593407, -0.9404071288068676, -0.3400506316553807, -109.879958853081
516187.31005864, 7502946.76593407, -0.9768381317276273, -0.21397958875294237, -102.35566891360102
516187.31005864, 7503446.76593407, -0.981707014658303, -0.19039783972168003, -100.97600257416691
516187.31005864, 7503946.76593407, -0.9824058765001524, -0.18675838352793508, -100.76366728335503
516187.31005864, 7504446.76593407, -0.9814511622754021, -0.19171232633365623, -101.0527304962694
516187.31005864, 7504946.76593407, -0.9795561936300581, -0.2011707322673749, -101.60542861538269
516187.31005864, 7505446.76593407, -0.9770388694004438, -0.21306113601664392, -102.30180322853914
516187.31005864, 7505946.76593407, -0.9742286055292195, -0.22556290512536056, -103.03598120726801
516187.31005864, 7506446.76593407, -0.9716197372570989, -0.2365482745074376, -103.68290584300027
516187.31005864, 7506946.76593407, -0.9697941686458131, -0.24392472293840187, -104.11829710895172
516187.31005864, 7507446.76593407, -0.9692509822526204, -0.2460742436792819, -104.24532707101575
516187.31005864, 7507946.76593407, -0.969911031893422, -0.24345962747740574, -104.09082076206388
516187.31005864, 7508446.76593407, -0.9705115628270873, -0.2410545714541101, -103.94879037194355
516187.31005864, 7508946.76593407, -0.969165054659779, -0.24641245266079376, -104.26532066028493
516187.31005864, 7509446.76593407, -0.9649117361172148, -0.26257444944865177, -105.22287586720861
516187.31005864, 7509946.76593407, -0.9586515272324675, -0.28458258789823637, -106.53389948072338
516187.31005864, 7510446.76593407, -0.9517662470583031, -0.3068240716771634, -107.86793813677687
516187.31005864, 7510946.76593407, -0.9444424013564656, -0.3286769698656001, -109.18849261303406
516187.31005864, 7511446.76593407, -0.9366366082526598, -0.35030253222172625, -110.5058204483496
516187.31005864, 7511946.76593407, -0.9312896326062886, -0.3642795906992924, -111.36325421378345
516187.31005864, 7512446.76593407, -0.938002331156862, -0.3466289467778082, -110.28126448957927
516187.31005864, 7512946.76593407, -0.9619817396582222, -0.2731137721978526, -105.84963878730382
516187.31005864, 7513446.76593407, -0.9893054144863797, -0.1458588251287261, -98.38701500563818
516187.31005864, 7513946.76593407, -0.9998972987155036, 0.014331504507168486, -89.17883716598143
516187.31005864, 7514446.76593407, -0.985796359166288, 0.16794504534070293, -80.33163891009009
516187.31005864, 7514946.76593407, -0.9630287686849432, 0.26939857216615326, -74.37151846524169
516187.31005864, 7515446.76593407, -0.9555912119937551, 0.2946954963352955, -72.86072109724043
516187.31005864, 7515946.76593407, -0.9698196005189341, 0.24382358878766255, -75.88767785378455
516187.31005864, 7516446.76593407, -0.9902806479894253, 0.13908356559149568, -82.00518038126441
516187.31005864, 7516946.76593407, -0.9995195670033648, 0.03099411520605891, -88.22388356485898
516187.31005864, 7517446.76593407, -0.9997684302529392, -0.02151943004760584, -91.23306770111618
516187.31005864, 7517946.76593407, -0.9998149333736299, 0.019237957352168253, -88.89767823543903
516187.31005864, 7518446.76593407, -0.9862933017097139, 0.16500158484860503, -80.50267346442351
516187.31005864, 7518946.76593407, -0.9217486970553449, 0.3877877505501869, -67.18308336534788
516187.31005864, 7519446.76593407, -0.7934061836453331, 0.6086925560193323, -52.50497382439166
516187.31005864, 7519946.76593407, -0.6448638997533578, 0.7642974229937526, -40.155471907962195
516187.31005864, 7520446.76593407, -0.5195011687502624, 0.8544697394683508, -31.298796830253345
