WKT	objectid	feature
LINESTRING (534630.34441964 7483865.05492077, 534090.6055168899 7484046.06116299, 533742.16394765 7484321.56376239, 533388.35278607 7484794.56788143, 533015.99345145 7485395.0575, 532580.79170147 7486055.071734, 531873.55461718 7487027.04515378, 531550.80242083 7487522.53403198, 530508.60395946 7489023.52602026, 530193.10023506 7489541.03822615, 529932.98886084 7489804.02599761, 528977.92851386 7490769.53031005, 528182.8695145299 7492066.02967569, 527790.80764607 7492539.02315779, 527475.04337437 7492999.02684152, 527088.25041356 7493236.51080705, 526531.36511284 7493812.51387744, 526241.48968922 7494361.51259949, 526035.07836964 7495088.00375303, 525796.65808711 7495764.01378774, 525855.19764379 7496044.01467372, 525794.77713101 7496712.51283815, 525856.83559773 7497705.0160571, 525757.7510356701 7498272.01408908, 525089.15708681 7499446.52318718, 524596.2758800799 7500098.51540907, 524512.80164159 7500182.00755984, 524248.58790062 7500447.0197916, 523887.39582506 7500808.99943623, 523814.80919092 7500861.50106209, 523576.8901202 7501033.50114164, 523090.59194631 7501408.48978086, 522521.98180311 7501847.49948718, 522422.25158683 7501924.49156487, 522189.26567998 7502103.99834995)	3496	Fault or shear zone
LINESTRING (539513.18738029 7491597.13566214, 539039.42032853 7492274.12993127, 538799.87040783 7492714.61990853, 537896.95236326 7494062.60501342, 536855.6906764701 7495537.21949823, 536570.44569593 7495941.11459244, 534479.0962729499 7498804.10098736, 534340.19805361 7498999.59891721, 534210.08037376 7499182.60107616, 533285.1919484599 7500484.10048948, 533038.92839015 7500854.6003846, 532980.30230737 7500984.59894823, 532914.74969844 7501129.60123437, 532869.00517466 7501231.109522, 532622.25910074 7501487.10041895, 532540.00999317 7501632.11100112, 532401.50813829 7501876.60077593, 532130.46012056 7502165.59858725, 531813.06703894 7502503.61203035, 531205.5805996699 7503124.10487552, 531092.21003941 7503242.11012067, 530852.9701849601 7503491.10155774, 530456.14134542 7503904.60914794, 530330.9386297 7504034.60013126, 530175.96563729 7504196.10320143)	3498	Fault or shear zone
LINESTRING (524688.38433156 7488743.49794404, 521224.2899599 7489118.45021574)	5252	Fault or shear zone
LINESTRING (515687.31005864 7492455.85964009, 515821.36177562 7492330.39645184, 516087.54343814 7492144.39823106, 516385.87489356 7492021.90023923)	5298	Fault or shear zone
LINESTRING (537479.4876275799 7491875.60528065, 538108.98072828 7491621.57060761, 538653.38274803 7491340.63658242, 539288.18423336 7491102.13606976, 540207.94557526 7490606.63562511, 540639.12139547 7490337.12815995, 540907.50263285 7490065.84033311, 540987.83044232 7489984.63975446, 541044.12911024 7489927.63917136, 541239.63983072 7489576.64160983)	5475	Fault or shear zone
LINESTRING (546077.04500014 7511377.57251071, 546760.38333391 7510983.12099207, 547274.14857214 7510712.64085564, 547768.50052133 7510360.13911111, 548034.69859791 7510174.13019729, 548653.86104331 7509880.75526473)	5484	Fault or shear zone
LINESTRING (547917.22212296 7486949.72888485, 547606.73429753 7487180.71529398, 547106.48671379 7487628.70676468, 546828.40016786 7488005.70739508, 546500.34189625 7488548.70907663, 546373.3495259701 7488770.70189235, 546153.45162875 7489155.20351203, 545893.98244059 7489525.86523723)	5991	Fault or shear zone
LINESTRING (546577.26028642 7487345.218131, 546330.89916801 7487696.71611354, 545786.33648171 7488183.69574817, 545121.01555681 7488689.69202183, 544468.14585069 7489139.17979174, 543986.25772977 7489440.68256884, 543574.24616962 7489729.16950817, 543213.11273092 7490017.65350314, 543048.60760173 7490190.6702777, 542727.29424758 7490582.4116606, 542565.71418112 7490765.15239289, 542391.50118632 7491085.14929234, 542259.7901782501 7491461.14896476, 542203.4287172999 7491646.14739406, 542059.95467557 7492226.13697903, 541941.92443907 7492825.14518688, 541963.19163038 7493283.13978594)	5993	Fault or shear zone
LINESTRING (529446.15654198 7499851.69059059, 529080.29154628 7500220.56001858, 528861.28210911 7500456.37665686, 528593.15904813 7500745.0615622, 528419.5086110201 7500966.56095005, 528302.37962347 7501116.06109037, 528055.80054875 7501423.05933658, 527895.38041329 7501600.55062368, 527190.8102288001 7502380.04191009, 527002.75123602 7502588.05130071, 526806.65661071 7502805.05577927)	6000	Fault or shear zone
LINESTRING (517946.07183157 7488467.89860577, 519045.7715252 7487029.9059683, 519197.2705782 7486806.42248787, 520303.71612472 7485450.93468321, 521784.48057864 7483902.93974874, 522018.43933063 7483621.42923093, 522322.30888126 7483333.43952939)	7099	Fault or shear zone
