X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type,slope_dip,slope_length,delz,zbase,zcross
552665.118585225,7515631.876654585,Marra_Mamba_Iron_Formation,726.3854809053361,212,0.3876859566425777,0.921791516028505,548056.1610050824,7517570.306437798,557274.0761653675,7513693.446871372,19.773385441772177,full,2.8193458340632667,727.2657733209024,35.77203061015507,675.0848237791747,639.3127931690196
551085.6336944799,7514482.115038515,Marra_Mamba_Iron_Formation,507.07136850303993,111,0.9770404470207166,0.2130539013619753,550020.36418767,7519367.317273619,552150.9032012898,7509596.9128034115,14.290320458060705,full,1.5367701514891137,507.253817659981,13.603777970825035,659.6492443257046,646.0454663548795
549041.035260135,7513812.380497025,Marra_Mamba_Iron_Formation,528.7266247390027,52,0.9468708667145932,0.3216139949802478,547432.9652852337,7518546.734830598,550649.1052350362,7509078.026163452,5.702477912940026,full,0.04231766742490082,528.7267689503589,0.39050837117497395,634.8589231592707,635.2494315304457
547488.09007165,7512891.640436515,Marra_Mamba_Iron_Formation,477.0078746268897,36,0.4791932559018532,0.8777094185994481,543099.5429786528,7515287.606716025,551876.6371646472,7510495.674157006,5.120636544655213,full,0.6724619796159536,477.0407303239037,5.598743778820676,637.0754490982339,631.4767053194132
546915.9039405249,7511745.000902525,Marra_Mamba_Iron_Formation,660.0906593747368,63,0.4326124381386269,0.9015799899996412,542408.0039905267,7513908.063093218,551423.8038905232,7509581.938711832,8.949523542121113,full,3.3992088638165505,661.2540388322861,39.207464572906815,681.1322495214241,641.9247849485173
546635.290916825,7510767.13469111,Marra_Mamba_Iron_Formation,803.9922991995455,160,0.5933461224343117,0.8049474386518456,542610.5537235658,7513733.865303282,550660.0281100841,7507800.404078938,11.765962050520443,full,0.2370335888479016,803.9991793749401,3.3261484340796414,656.6838123017826,653.357663867703
545312.050876535,7509345.395137595,Marra_Mamba_Iron_Formation,756.3626141666375,134,0.3900009943669481,0.9208144353738116,540707.978699666,7511295.40010943,549916.123053404,7507395.39016576,13.419572310501891,full,3.173350581690705,757.5241866911691,41.934345268853576,704.1218731714403,662.1875279025867
544579.6767696401,7507799.651197765,Marra_Mamba_Iron_Formation,333.5618381892719,40,0.4374922056992443,0.8992222027688207,540083.5657557959,7509987.112226261,549075.7877834842,7505612.190169269,9.382470200059018,full,2.493340985104508,333.8779256448658,14.52478353410288,649.7672366129534,635.2424530788505
543576.64946143,7506178.900727445,Marra_Mamba_Iron_Formation,381.110819139285,13,0.389715061361287,0.9209354868546268,538971.9720271569,7508127.476034252,548181.3268957032,7504230.325420639,3.2309480448517434,full,1.1955791627593764,381.1938064118132,7.953714962842582,624.9084472549634,616.9547322921209
541741.404247645,7504078.900228441,Marra_Mamba_Iron_Formation,354.08747710808734,116,0.8601674596883767,0.5100117070158732,539191.3457125657,7508379.737526882,544291.4627827244,7499778.062929999,21.369285434586075,full,2.2229184229902326,354.35413523151414,13.744515666401185,609.2150830776167,595.4705674112155
539709.6700366649,7502769.40030633,Marra_Mamba_Iron_Formation,464.72265446924087,195,0.8735019342670427,0.4868206762574234,537275.5666553779,7507136.909977665,542143.773417952,7498401.890634995,25.01015697748157,full,0.16626588696149666,464.7246111790151,1.3485764899689912,585.7739892068696,584.4254127169006
537484.2345968201,7502186.14398269,Marra_Mamba_Iron_Formation,1053.7377322623781,310,0.7892505237260491,0.6140713401536966,534413.8778960516,7506132.39660132,540554.5912975885,7498239.891364059,18.074375526851014,full,0.9163958581337519,1053.8725260259505,16.855050247880513,602.1348186233349,585.2797683754544
537151.78487281,7501157.135138335,Marra_Mamba_Iron_Formation,710.8266317709421,152,0.6259559766721892,0.7798583943693661,533252.4929009632,7504286.915021695,541051.0768446568,7498027.355254974,11.709282786729332,full,0.6616633917507672,710.8740326916027,8.209136397904444,557.0818286113081,565.2909650092125
534794.12882174,7500848.364012441,Marra_Mamba_Iron_Formation,368.5490301516047,34,0.9955971901584344,-0.0937349185129546,535262.8034143049,7505826.349963233,534325.4542291752,7495870.378061648,4.731164414646884,full,0.6893478376038958,368.57570629494194,4.434370882871917,566.0144484987155,570.4488193815874
533398.540996195,7500516.824355229,Marra_Mamba_Iron_Formation,517.0039387353523,139,0.9607625664770078,0.2773721162202742,532011.6804150937,7505320.637187614,534785.4015772964,7495713.0115228435,15.780526420399667,full,0.08061107070916648,517.0044504270008,0.7273881063346153,546.9993725312216,546.271984424887
531362.5394642651,7500720.83522844,Marra_Mamba_Iron_Formation,372.34131428748043,177,0.9917135216400632,0.1284690273811711,530720.1943273592,7505679.40283664,532004.884601171,7495762.26762024,28.738330504631236,full,0.2668582400763203,372.3453528901446,1.7342126622976366,568.6961481068545,566.9619354445568
529030.778694384,7500199.741071343,Marra_Mamba_Iron_Formation,872.040697529593,472,0.9218254974398375,0.3876051499526237,527092.7529446209,7504808.868558543,530968.8044441472,7495590.613584144,33.01427002414273,full,0.20482411426968186,872.0462697203646,3.117432485878453,561.1579267326514,558.0404942467729
562344.57936282,7490951.34059388,Boolgeeda_Iron_Formation,635.4631929177131,461,-0.9949763623057738,-0.100110131618979,562845.130020915,7485976.458782352,561844.0287047251,7495926.2224054085,45.750397651036096,full,0.7931753247134793,635.5240888397351,8.79761003914507,576.2407854614447,585.0383955005898
560463.579465495,7485079.083282695,Boolgeeda_Iron_Formation,699.7849267284743,195,0.9962948385349282,0.0860034575389944,560033.5621778,7490060.557475369,560893.5967531899,7480097.609090021,19.626125424307375,full,3.4645471105558916,701.0662077231275,42.36607056255309,623.6147636079759,581.2486930454228
559119.699761265,7485207.069412515,Boolgeeda_Iron_Formation,669.0078324939077,377,0.96061009878849,-0.2778996907259303,560509.1982148946,7490010.119906457,557730.2013076353,7480404.018918572,36.01947710103022,full,1.709167001963677,669.3056059596391,19.96282121352715,591.2557455801367,571.2929243666096
556713.75592295,7485846.04057605,Boolgeeda_Iron_Formation,495.74729232408,382,0.9641054045149494,-0.265519809025741,558041.3549680787,7490666.567598625,555386.1568778213,7481025.513553475,50.68302591261877,full,0.27096098254413165,495.75283606153454,2.3444863825449147,555.0512704942781,552.7067841117332
552610.404367395,7487427.76068372,Boolgeeda_Iron_Formation,657.5207093061035,511,0.8836999583489735,-0.4680538255521714,554950.6734951559,7491846.260475465,550270.1352396341,7483009.260891975,51.25532986531855,full,0.16246089297526925,657.5233525260466,1.864390165755367,533.0703655320851,531.2059753663298
550786.85881388,7488453.12795862,Boolgeeda_Iron_Formation,413.9452931887624,282,0.8814260939955567,-0.4723219673313277,553148.4686505366,7492860.258428598,548425.2489772234,7484045.997488642,44.716511582929414,full,1.688876747957589,414.1251889183626,12.205176915517427,563.1599843921225,550.9548074766051
549490.845937755,7489510.47029242,Boolgeeda_Iron_Formation,820.6617115362509,322,-0.3506471568349489,-0.9365076462066748,554173.3841687883,7487757.234508245,544808.3077067216,7491263.706076595,23.945687200574824,full,0.7718230616185573,820.7361774033834,11.055682570933868,580.7578513088188,569.7021687378849
550775.76079151,7490271.89894948,Boolgeeda_Iron_Formation,438.31011136128075,195,-0.9937204476907904,-0.1118913394379368,551335.2174886997,7485303.296711026,550216.3040943203,7495240.501187934,27.27308938450028,full,0.8125689511227304,438.3541935422555,6.216532356773655,563.4939238049951,557.2773914482215
552869.619635975,7490672.75180947,Boolgeeda_Iron_Formation,345.96276360978777,175,-0.9284841781771136,-0.3713719575772654,554726.4794238614,7486030.330918585,551012.7598480886,7495315.172700356,31.45874880030911,full,1.0108231751099634,346.01661052190957,6.104175009694927,564.7366728739003,558.6324978642053
554796.6809992499,7490651.76125026,Boolgeeda_Iron_Formation,383.72422444631445,189,-0.9937819640194152,0.1113436481785731,554239.962758357,7485682.851430163,555353.3992401428,7495620.671070358,30.38793733729561,full,0.717151674547808,383.75428481763123,4.8031957034977495,558.9851600522397,554.181964348742
557378.0149577849,7490520.044490605,Boolgeeda_Iron_Formation,372.795698752555,171,-0.9994279490411568,0.0338197379556216,557208.9162680068,7485522.904745399,557547.113647563,7495517.18423581,28.278123147330128,full,0.8688603153074044,372.8385671422732,5.65368378118194,565.2037260474742,559.5500422662923
560228.17018092,7490902.319475874,Boolgeeda_Iron_Formation,588.088960045981,446,-0.9389055791812378,-0.3441748296757685,561949.0443292989,7486207.791579968,558507.2960325412,7495596.84737178,45.89856748439471,full,3.4150210708865822,589.1351194230872,35.09364628663889,588.0556221132326,623.1492683998715
561273.0752669349,7491112.32556575,Boolgeeda_Iron_Formation,651.0625034282601,484,-0.997001059361184,0.0773879036586237,560886.1357486418,7486127.320268944,561660.0147852281,7496097.330862556,47.54593369508656,full,0.5864493372446256,651.0966091607386,6.664164639200635,574.4378136721317,581.1019783113323
561061.19998684,7478939.82860736,Mount_McRae_Shale_and_Mount_Sylvia_Formation,926.1091370763156,332,0.5238608911974378,-0.8518038310983499,565320.2191423317,7481559.133063347,556802.1808313483,7476320.524151373,18.185264784842346,full,2.812871754635576,927.2263170014237,45.502847864576324,657.2751649995996,702.7780128641759
562092.236037625,7482928.10958807,Weeli_Wolli_Formation,1802.0620385437728,455,0.994089097592406,-0.1085673341660175,562635.072708455,7487898.555076032,561549.399366795,7477957.664100108,15.195063647188974,full,0.5389259537971745,1802.1417587999724,16.950753674098564,630.3444697654305,613.393716091332
559233.6345087499,7483482.575397195,Weeli_Wolli_Formation,1317.0124043555581,703,0.9616116456554836,-0.274413999168687,560605.7045045934,7488290.633625473,557861.5645129065,7478674.517168918,33.359178712487385,full,1.091362726256227,1317.2513606629807,25.08931928262882,612.1781110534846,587.0887917708558
555718.903841545,7484673.534226401,Weeli_Wolli_Formation,973.5468664672883,740,0.8813305633151881,-0.4725001991179826,558081.4048371349,7489080.187042977,553356.4028459551,7480266.881409825,49.90958542538813,full,0.3568355952363523,973.5657474659428,6.063285466120192,574.2934644707722,568.230179004652
